№;Место хранения;Памятник;Постройка;Вид;Тип;"Индивид. номер 
(музейный, если есть)";"Номер квадрата/участка
 по археологическим отчётам";"Год 
находки";"Количество 
фрагментов";цвет;Название;Примечание
159;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№189;кв. 3, пл. 7;2015;100;;;
160;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№205;кв. 7, пл. 8;2015;28;;;
161;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№208;кв. 4, пл. 2;2015;140;;;
162;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№221;кв. 1, пл. 2;2015;54;;;
163;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№211;кв. 4, пл. 2;2015;83;;;
164;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№207;кв. 5, пл. 9;2015;60;;;
165;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№171;кв. 7, пл. 8;2015;90;;;
166;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№165;кв. 8, пл. 8;2015;110;;;
167;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№164;кв. 4, пл. 4;2015;100;;;
168;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№212;;2015;90;;;
169;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№216+227;;2015;68;;;
170;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№219;кв. 7-9;2015;15;;;
171;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№224;кв. 7-9;2015;44;;;
172;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№223;кв. 7, пл. 8;2015;280;;;
173;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№231;кв. 8-9, пл. 9;2015;15;;;
174;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№229;кв. 7, пл. 9;2015;19;;;
